**्*्*्*्**ै*िं*	UNK
*ी*ि*ः	VM
*ा*ा*ा*ों	UNK.NN
****्**्*	UNK.NN
**्*ं*	UNK.INTF.JJ.NN
*ु*्*ि*्*	NN
**़**़ा*ा	UNK
*ु**ु*़्*्*ा*	UNK
****़ु*्**	UNK
*्*ां*ि*ी	NN.JJ
*ि*ा*े*ा*ों	NN
*ं**्**ों	UNK.NN
*्**ा***ै**ृ	UNK
*ू**ि*	UNK.JJ.NN
ः***ि*्*्	XC.NNP
*ं*़**	UNK
**्*ा*ा*ि*ों	NN
*ा*ू*ी***	NN
*ी*ा**ो*ा	UNK
*्**ि*ं**ा**	UNK
*ि*ि*****्*्*्*्**	UNK
*्*ै*़ि*	UNK
*ी*ि*ा	XC.NN.NNP
*****ी*ा	UNK.NN
***ी*ी***्*ि*	UNK
*्******्*्*्*्**ु**	UNK
*ी*े**ी*े	UNK
**ि*्*ि*ी*ों	UNK
*ी**ं*ी*ि**िं*	UNK
**ु*ृ*ि*ों	UNK
**िं**ं*ि*ों	UNK
*ा***ा*ों	UNK.NN
*े*ि*ि**	UNK
***ं*़ा*	UNK
*ि*ा***्**	UNK
*ॅ**ी*	UNK
**्*ं**ः	UNK
***्***ु*्*	UNK
**्**ं**ि	UNK
*ि***्**ि*	UNK
**ा**ें*ृ	UNK
**ु*ू*ि*ां	NN
*ि**्*ा*ी	JJ.NN
**ा**ा*्*्*ी	NN
*ा*****्*ा**	UNK
*ं*्*ॉ*े**	XC
*ु*ं*ा*	JJ
**ी**्*ि*ा*्**	NN
*****ी*ी	JJ.NN
**े***े	UNK
**्*ी*्*ो*ू	UNK
*ै*े*ें	NN
*ी***ि*	UNK.NNP
*ि*ू*े*्*ा*ै	UNK
**्**्*ों**ो**ा*ा	UNK
*****ी*े	UNK
*ी*ि*ो	XC.NN
*ी*ि*ॊ	XC.JJ.NN
*ं*ु*्*	XC.NN.JJ.NNP
*ी*ि*ै	UNK
*ै*ि**ा	UNK.NN
**े***ो	UNK
**े***ै	UNK
*ो*्*े*ा*े	UNK
**ि*ा**	XC.UNK.JJ.NN
*****्*्*्*्**ा*़्*ा	UNK
***्**े*्*	XC
*ॉं**े	UNK
*ो*्*्*्	NN
*े*ु*ू	NN
*ु***ं*ु*	UNK
**े**़*े	UNK
*्**्*ा*ृ*	UNK
**ु**़्*ि*ों	UNK
*ी***ा*़े	UNK
***्***ा*ु*ा*	JJ.NN
*्*ौ**ी	NNP
***ु**ी*	UNK
**ू*ू*	UNK.JJ
*ें***ो*ी	NN
**्****ि**्*ी*	UNK
**्*ं**ा	UNK
*ि**ा*ु*ू*	JJ.NN
